busca;n;passos_melhor;passos_medio;passos_pior;comp_medio;custo_melhor;custo_medio;custo_pior;tempo_medio_us
Linear;10;1;5,646;10;5,646;4;36,522;73;1,588
Binária;10;1;2,857;4;4,714;17;46,712;72;1,990
Linear;100;1;50,100;100;50,100;4;347,700;703;16,703
Binária;100;1;5,835;7;10,670;17;94,360;120;3,832
Linear;1000;1;497,131;1000;497,131;4;3.476,917;7003;162,677
Binária;1000;1;8,932;10;16,864;17;143,912;168;5,759
Linear;10000;1;5.059,418;10000;5.059,418;4;35.412,926;70003;1.612,720
Binária;10000;1;12,289;14;23,578;17;197,624;232;9,383
Linear;100000;1;48.637,957;100000;48.637,957;4;340.462,699;700003;14.659,005
Binária;100000;1;15,711;17;30,422;17;252,376;280;12,367
